título,autor,língua,formato,gênero,tipo,temas,sequência,protagonismo,status,ficção?,estrelas,comentário,ano lido,origem,país,ano de publicação,número de páginas
daisy jones and the six,Taylor Jenkins Reid,português,ebook,"jovem adulto, drama",narrativa,,único,feminino,abandonado,ficção,⭐⭐⭐⭐,"por que eu parei de ler, senhor?",2022,pirateado,Estados Unidos,2019,368
dama da névoa,Laura Sebastian,português,brochura,"fantasia, jovem adulto",narrativa,soft magic,trilogia,feminino,lido,ficção,⭐⭐⭐,,2022,presente,Estados Unidos,2019,400
garotas (im)perfeitas,Raíssa Selvaticci,português,ebook,"jovem adulto, romance",narrativa,"lgbt, sáfico, colegial, enemies to lovers",único,feminino,lido,ficção,⭐,"autria flores é um nome muito bom, parabéns",2022,pirateado,Brasil,2022,120
"girl, serpent, thorn",Melissa Bashardoust,inglês,ebook,"fantasia, jovem adulto, romance",narrativa,"lgbt, sáfico, soft magic, sunshine x grumpy, enemies to lovers, monarquia, mitologia persa, furry?",único,feminino,lido,ficção,⭐⭐⭐,achei top a mitologia persa nem vou mentir,2022,pirateado,Estados Unidos,2020,336
luzes do norte,Giu Domingues,português,brochura,"fantasia, romance, jovem adulto",narrativa,"lgbt, sáfico, soft magic, duologia boreal",duologia,feminino,lido,ficção,⭐⭐⭐⭐,,2022,livraria física,Brasil,2022,280
my dearest darkest,Kayla Cottingham,inglês,ebook,"fantasia, jovem adulto, romance",narrativa,"lgbt, sáfico, soft magic, sunshine x grumpy, enemies to lovers, dark academia",único,feminino,lido,ficção,⭐⭐,"ela brilha e tem vitiligo mágico, não sei",2022,pirateado,Estados Unidos,2022,368
o legado de chandler,Abdi Nazemain,português,ebook,jovem adulto,narrativa,"lgbt, sáfico, aquiliano, colegial, dark academia",único,duplo,lido,ficção,⭐⭐⭐,paia,2022,pirateado,Irã,2022,341
o rei de elfhame,Holly Black,português,brochura,"fantasia, jovem adulto",narrativa,"fadas, soft magic, povo do ar",extra,masculino,lido,ficção,⭐⭐⭐⭐⭐,foi só aqui que eu descobri que o locke era ruivo,2022,presente,Estados Unidos,2020,192
princesa das cinzas,Laura Sebastian,português,brochura,"fantasia, jovem adulto",narrativa,soft magic,trilogia,feminino,lido,ficção,⭐⭐⭐,se o cal (red queen) fosse um príncipe bom ele seria o saeron,2022,presente,Estados Unidos,2018,456
rainha das chamas,Laura Sebastian,português,brochura,"fantasia, jovem adulto",narrativa,soft magic,trilogia,feminino,lido,ficção,⭐⭐⭐⭐,,2022,presente,Estados Unidos,2020,384
the invisible life of addie larue,VE Schwab,inglês,capa dura,"fantasia, jovem adulto, romance",narrativa,"soft magic, esoterismo, poderes",único,feminino,lido,ficção,⭐⭐⭐⭐⭐,"cada única página do desenvolvimento desse é perfeito, o final é questionável, mas vale a pena",2022,presente,Estados Unidos,2020,560
the lost sisters,Holly Black,inglês,ebook,"fantasia, jovem adulto",contos,"fadas, soft magic, povo do ar",extra,feminino,lido,ficção,⭐⭐⭐⭐⭐,taryn as pessoas te odeia mas eu te amo <3,2022,pirateado,Estados Unidos,2018,57
the society for soulless girls,Laura Seteven,inglês,ebook,"fantasia, jovem adulto, romance",narrativa,"lgbt, sáfico, colegial, soft magic, sunshine x grumpy, enemies to lovers, dark academia, esoterismo",único,feminino,lido,ficção,⭐⭐,???,2022,pirateado,Inglaterra,2022,448
vilão,VE Schwab,português,brochura,"fantasia, jovem adulto",narrativa,poderes,duologia,masculino,lido,ficção,⭐⭐⭐⭐,"maior campanha pró leitura da minha vida, li esse e mais 6 em um mês",2022,emprestado,Estados Unidos,2019,364
all the young dudes,MsKingBean89,inglês,ebook,"fantasia, jovem adulto, romance, drama",narrativa,"lgbt, aquiliano, soft magic, friends to lovers, dark academia, homofobia, harry potter",único,masculino,abandonado,ficção,⭐⭐⭐⭐⭐,como pode um fã de harry potter escrever sobre o mundo bruxo melhor que a jk rowling?,2023,outro,Estados Unidos,2017,1171
her royal highness,Rachel Hawkins,inglês,ebook,"romance, comédia, jovem adulto",narrativa,"lgbt, sáfico, colegial, sunshine x grumpy, enemies to lovers, monarquia, high profile, royals",série,feminino,lido,ficção,⭐⭐⭐⭐,"surpreendentemente, a versão em inglês é melhor",2023,pirateado,Estados Unidos,2019,283
i kissed shara wheeler,Casey McQuiston,inglês,capa dura,"jovem adulto, romance, comédia",narrativa,"lgbt, sáfico, enemies to lovers, colegial",único,feminino,lido,ficção,⭐⭐⭐⭐⭐,"chloe green e sua obssessão, simplesmente meu livro mais anotado",2023,livraria online,Estados Unidos,2022,368
o ceifador,Neal Shusterman,português,brochura,"distopia, jovem adulto",narrativa,,trilogia,duplo,lido,ficção,⭐⭐⭐,"não entendi a metáfora, mas bom livro",2023,livraria física,Estados Unidos,2016,448
percy jackson e o ladrão de raios,Rick Riordan,português,brochura,"fantasia, infantil",narrativa,"mitologia grega, soft magic, percy jackson",saga,masculino,lido,ficção,⭐⭐⭐⭐,definitivamente melhor que harry potter,2023,livraria física,Estados Unidos,2005,377
princesas mortas não se apaixonam,Raíssa Selvaticci,português,ebook,"jovem adulto, romance",narrativa,"lgbt, sáfico, colegial, enemies to lovers, monarquia, homofobia",único,feminino,lido,ficção,⭐⭐,,2023,pirateado,Brasil,2023,352
6 times we almost kissed (and one time we did),Tess Sharpe,inglês,ebook,"jovem adulto, romance",narrativa,"lgbt, sáfico, colegial, sunshine x grumpy, friends to lovers",único,feminino,lido,ficção,⭐⭐⭐,,2024,pirateado,Estados Unidos,2023,384
a história da mitologia para quem tem pressa,Mark Daniels,português,brochura,,outro,"esoterismo, mitologia cristã, mitologia grega",outro,,lido,não ficção,⭐⭐,,2024,presente,Estados Unidos,2016,196
carrie soto está de volta,Taylor Jenkins Reid,português,ebook,"jovem adulto, drama",narrativa,high profile,único,feminino,abandonado,ficção,⭐⭐⭐⭐,li por causa de challengers <3,2024,pirateado,Estados Unidos,2022,352
como se fosse fanfic,Victoria Mendes ,português,ebook,"jovem adulto, romance",narrativa,"lgbt, sáfico",único,feminino,lido,ficção,⭐⭐⭐,,2024,ebook,Brasil,2024,200
delilah green não está nem aí,Ashley Herring Blake,português,brochura,"jovem adulto, romance",narrativa,"lgbt, sáfico, sunshine x grumpy",série,feminino,lendo,ficção,⭐⭐⭐,muito millenial,2024,livraria online,Estados Unidos,2022,336
"força, nakamura!",Syundei,português,brochura,"jovem adulto, romance, comédia",hq/manga,"lgbt, aquiliano, colegial",único,masculino,abandonado,ficção,⭐⭐⭐,"a cena do polvo no ínicio me pegou desprevinida, mas, assim, quando comprei vinha com aviso bem grande que era +18, então não foi por falta de aviso",2024,livraria física,Japão,2022,200
a dark drowning tide,Allison Saft,inglês,ebook,"jovem adulto, romance, suspense",narrativa,"lgbt, sáfico, sunshine x grumpy, enemies to lovers, dark academia, esoterismo",único,feminino,lido,ficção,⭐⭐⭐⭐⭐,se ignorar o fato de q eu editei o epub pra trocar o nome tenebroso das personagens..,2025,pirateado,Estados Unidos,2024,400
o incêndio em tróia,Marion Zimmer Bradley,português,brochura,"ficção histórica, fantasia",narrativa,"mitologia grega, esoterismo",único,feminino,lendo,ficção,,,2025,sebo,Estados Unidos,1987,545
gwen and art are not in love, Lex Croucher,inglês,ebook,"jovem adulto, romance, ficção histórica",narrativa,"lgbt, sáfico, aquiliano, monarquia, esoterismo, homofobia",único,duplo,lido,ficção,⭐⭐⭐⭐⭐,achei que ia me arrastar nos capítulos narrados pelo art mas ele é um divo,2025,pirateado,Inglaterra,2024,412
an education in malice,S. T. Gibson,inglês,ebook,"romance, jovem adulto, fantasia",narrativa,"lgbt, sáfico, gótico, dark academia, enemies to lovers, vampiros",único,feminino,lido,ficção,⭐,"eu daria mais uma estrela se a professora tivesse morrido no fim tbm, de resto, péssimo livro",2025,pirateado,Estados Unidos,2024,368
a garota do lago,Charlie Donlea,português,brochura,suspense,narrativa,,único,feminino,não lido,ficção,,,,presente,Estados Unidos,2017,296
a grande rainha,Marion Zimmer Bradley,português,brochura,"ficção histórica, fantasia",narrativa,"mitologia cristã, esoterismo, as brumas de avalon",saga,feminino,lido,ficção,⭐⭐⭐⭐⭐,"meu amor e ódio pela gwen, esse final, queria ter gravado minha reação (eu sei onde eu tava, o que eu vestia, com quem eu estava, o que eu ia fazer, a horário que eu li a última linha)",,sebo,Estados Unidos,1983,267
a mansão gallant,VE Schwab,português,brochura,"fantasia, jovem adulto",narrativa,,único,feminino,não lido,ficção,,,,presente,Estados Unidos,2022,320
a queda de atlantida a teia de luz,Marion Zimmer Bradley,português,brochura,"ficção histórica, fantasia",narrativa,"esoterismo, atlântida",duologia,feminino,não lido,ficção,,,,sebo,Estados Unidos,1983,202
a queda de atlantida a teia de trevas,Marion Zimmer Bradley,português,brochura,"ficção histórica, fantasia",narrativa,"esoterismo, atlântida",duologia,feminino,não lido,ficção,,,,sebo,Estados Unidos,1983,244
agora esse é o nosso mundo,Erik J. Brown,português,brochura,"distopia, jovem adulto",narrativa,"lgbt, aquiliano, pós apocalptico",único,masculino,não lido,ficção,,,,presente,Estados Unidos,2023,256
aqueles que devemos encontrar,Joan He,português,brochura,"sci fi, jovem adulto",narrativa,,único,feminino,não lido,ficção,,,,livraria física,Estados Unidos,2022,384
catching fire,Suzanne Collins,inglês,brochura,"distopia, jovem adulto",narrativa,jogos vorazes,trilogia,feminino,não lido,ficção,,,,sebo,Estados Unidos,2009,472
destruidor de espadas,Victoria Aveyard,português,brochura,"fantasia, jovem adulto",narrativa,"soft magic, monarquia, destruidor de reinos",trilogia,masculino,não lido,ficção,,,,presente,Estados Unidos,2022,560
destruidor de reinos,Victoria Aveyard,português,brochura,"fantasia, jovem adulto",narrativa,"soft magic, monarquia, destruidor de reinos",trilogia,masculino,abandonado,ficção,,,,livraria online,Estados Unidos,2021,560
divina comédia,"Dante Alighieri, Hernâni Donato",português,brochura,"clássico, fantasia",narrativa,mitologia cristã,único,masculino,não lido,ficção,,,,outro,Itália,1321,332
dracul,"Dacre Stocker, JD Barker, Marcia Blasques",português,brochura,"clássico, terror",narrativa,"gótico, vampiros",único,masculino,não lido,ficção,,"sim, eu comprei dois e eu nunca vou ler nenhum deles",,livraria física,Irlanda,2018,432
drácula,"Bram Stocker, Marsely de Marco",português,brochura,"clássico, terror",narrativa,"gótico, vampiros",único,masculino,não lido,ficção,,"sim, eu comprei dois e eu nunca vou ler nenhum deles",,livraria física,Irlanda,1897,352
dragões de éter caçadores de bruxas,Raphael Draccon,português,brochura,"fantasia, infantil",narrativa,,saga,duplo,não lido,ficção,,,,livraria física,Brasil,2011,368
duna,Frank Herbert,português,capa dura,"sci fi, jovem adulto, clássico",narrativa,soft magic,saga,masculino,não lido,ficção,,,,livraria online,Estados Unidos,1965,680
fogo e estrelas,Audrey Coulthurst,português,brochura,"fantasia, romance, jovem adulto",narrativa,"lgbt, sáfico",duologia,feminino,não lido,ficção,,,,presente,Estados Unidos,2022,440
mockingjay,Suzanne Collins,inglês,brochura,"distopia, jovem adulto",narrativa,jogos vorazes,trilogia,feminino,não lido,ficção,,,,sebo,Estados Unidos,2010,458
my broken mariko,Waka Hirako,português,brochura,"jovem adulto, drama",hq/manga,,único,feminino,não lido,ficção,,,,livraria física,Japão,2023,200
o clube de crimes das quintas feiras,Richard Osman,português,brochura,"suspense, jovem adulto",narrativa,,série,,não lido,ficção,,,,livraria física,Inglaterra,2020,400
o clube mary shelley,Goldy Moldavsky,português,brochura,suspense,narrativa,dark academia,único,,não lido,ficção,,,,livraria física,Estados Unidos,2022,320
o gamo rei,Marion Zimmer Bradley,português,brochura,"ficção histórica, fantasia",narrativa,"mitologia cristã, esoterismo, as brumas de avalon",saga,feminino,lido,ficção,⭐⭐⭐⭐,,,sebo,Estados Unidos,1983,246
o prisioneiro da árvore,Marion Zimmer Bradley,português,brochura,"ficção histórica, fantasia",narrativa,"mitologia cristã, esoterismo, as brumas de avalon",saga,feminino,lido,ficção,⭐⭐⭐,"gwen cegueta me deixou triste, morgana perdeu a moral ficando enfiada em avalon nesse final imperdível",,sebo,Estados Unidos,1983,283
odisséia,Homero,português,capa dura,"clássico, fantasia",narrativa,"mitologia grega, soft magic",série,masculino,não lido,ficção,,,,outro,Grécia,2003,318
percy jackson and the last olympian,Rick Riordan,inglês,brochura,"fantasia, jovem adulto",narrativa,"mitologia grega, soft magic, percy jackson",saga,masculino,não lido,ficção,,,,sebo,Estados Unidos,2009,432
percy jackson e o mar de monstros,Rick Riordan,português,brochura,"fantasia, infantil",narrativa,"mitologia grega, soft magic, percy jackson",saga,masculino,não lido,ficção,,,,sebo,Estados Unidos,2006,279
sandman noites sem fim,Neil Gaiman,português,capa dura,fantasia,hq/manga,,série,masculino,não lido,ficção,,,,outro,Inglaterra,2003,164
sombras do sul,Giu Domingues,português,brochura,"fantasia, romance, jovem adulto",narrativa,"lgbt, sáfico, soft magic, duologia boreal",duologia,feminino,abandonado,ficção,,"fofo, meigo, nacional e sáfico",,livraria física,Brasil,2022,352
the hunger games,Suzanne Collins,inglês,brochura,"distopia, jovem adulto",narrativa,jogos vorazes,trilogia,feminino,não lido,ficção,,,,sebo,Estados Unidos,2008,458
the trials of apollo the burning maze,Rick Riordan,inglês,brochura,"fantasia, jovem adulto",narrativa,"mitologia grega, soft magic",saga,masculino,não lido,ficção,,,,sebo,Estados Unidos,2018,448
todas as cores do céu,Amita Trasi,português,brochura,"jovem adulto, drama",narrativa,,único,feminino,não lido,ficção,,,,presente,India,2015,384
vermelho branco e sangue azul,Casey McQuiston,português,brochura,"jovem adulto, romance, comédia",narrativa,"lgbt, aquiliano, enemies to lovers, monarquia, high profile",único,masculino,não lido,ficção,,,,presente,Estados Unidos,2019,392
carmilla,Sheridan Le Fanu,inglês,ebook,clássico,narrativa,lgbt,único,feminino,lido,ficção,⭐⭐⭐⭐,"as crianças vitorianas devem ter tido um avc lendo isso aqui, eu nao",2025,pirateado,Irlanda,1872,108
babel,R.F. Kuang,inglês,ebook,"fantasia, jovem adulto, suspense, drama",narrativa,"dark academia, gótico, esoterismo",único,duplo,lendo,ficção,,,2025,pirateado,Estados Unidos,2022,545
honor bound,Lex Prismvtic,inglês,ebook,"fantasia, jovem adulto, romance",narrativa,"lgbt, sáfico, soft magic, monarquia, poderes, internato, romance proibido, angst",duologia,feminino,lendo,ficção,,,2025,outro,Estados Unidos,2025,423
o cara que estou a fim não é um cara,Sumiko Arai,português,brochura,"jovem adulto, romance",hq/manga,"lgbt, sáfico, friends to lovers",outro,feminino,lido,ficção,⭐⭐⭐⭐⭐,foda-se mto bonitinho,2025,livraria online,Japão,2024,184
